marca,modelo,ano,cor,placa,chassi,valor_compra,valor_venda,status,observacoes
HONDA,NXR160 BROS CBS,2025/2025,VERMELHA,,9C2KD0810SR075735,0,0,Salão,
HONDA,POP 110I ES,2025/2026,BRANCA,,9C2JB0100TR204483,0,0,Salão,
TRIUMPH ,TIGER 900 RALLYP,2024/2025,CINZA,SGA-5G22,97NC83DEXSMCA4139,0,0,Salão,
YAMAHA,YS150 FAZER SED,2014/2014,BRANCA,KWJ7A69,9C6KG0650E0010859,0,0,Salão,
Yamaha ,Nmax,2020/2020,Vermelha,Rkb0f72,9c6sg3310l0047982,0,0,Vendida,
Yamaha,Mt03 abs,2024/2024,Cinza,Srp7h34,9c6rh1150r0030984,0,0,Vendida,
Yamaha,Nmax,2025/2025,Prata,TUG0i96,9c6sg9110s0006806,0,0,Vendida,
Yamaha ,Mt03 abs,2023/2024,Preta,Sqv1g71,9c6eh1150r0023602,0,0,Vendida,
YAMAHA ,NMAX 160,2025\2025,PRATA,TTF5F66,9C6SG9110S0005388,0,0,Vendida,
HONDA,PCX 160 ABS,2024/2025,VERMELHA,TTK0F58,9C2KF5210SR001559,0,0,Vendida,
YAMAHA ,NMAX 160,2024\2024,VERMELHA,TTF3D19,9C6SG5920R0028990,0,0,Vendida,
YAMAHA ,XMAX ,2025\2025,PRETA,TTS0G30,9C6SG8610S000213,0,0,Vendida,
HONDA,FAN 160,2025/2025,PR,,9c2kc2200sr217638,0,0,Vendida,
YAMAHA,YZF R1,2014/2015,BRANCA,GCV8I70,JYARN3018FA000555,0,0,Vendida,
HONDA,CG 160 FAN ,2016\2016,PRATA ,LSN8F68,9C2KC2200GR501159,0,0,Vendida,
HONDA,PCX 160 DLX ABS,2024/2025,AZUL,TUS0D88,9C2KF5220SR001774,0,0,Vendida,
HONDA,CG 160 START ,2024\2024,PRATA ,SRF8C86,9C2KC2500RR081329,0,0,Vendida,
HONDA,CRF 250,2025/2025,VERMELHA,,9C2ME1338SR305642,0,0,Vendida,
HONDA,CG 160 FAN,2024/2025,LARANJA,,9C2KC2210SR010693,0,0,Vendida,
"HONDA,XR300L TORNADO  ,2024/2025,VERMELHA,SSB4I36,9C2ND1910SR002031,0,0,Vendida,MANUAL: SIM
CHAVE RESERVA: SIM
DEBITOS CONSIGNAÇÃO IPVA 2025 R$ 369,80 + GRT 2025 R$ 281,00
VALOR DO CUSTO R$ 30.000,00 + R$184,90"
YAMAHA,XMAX ,2020/2021,ROSA,RKG1D12,9C6SG6210M0000579,0,0,Vendida,CUSTO R$18.000,00 - MANUAL: SIM - CHAVE RESERVA: APENAS O CÓDIGO DA CHAVE 
YAMAHA,NEO 125,2016/2017,CINZA,LSU6892,9C6SEB510H0000772,0,0,Vendida,CUSTO R$6.000,00 - DOC DIGITAL 2025 COM CÓDIGO DE SEGURAÇA - SEM CHAVE RESERVA 
FUN MOTORS ,QUADRICICLO RHINO 110cc,,,,00000000000000,0,0,Vendida,CUSTO R$ 7.289,02 
YAMAHA,FZ25 FAZER,2024/2025,VERMELHA,TTE3F75,9C6RG5040S0008271,0,0,Vendida,CUSTO R$22.590,00 + R$374,50 - MANUAL: SIM - CHAVE RESERVA: SIM 
YAMAHA ,NEO 125,2024/2025,CINZA,TUW0F34,9C6SEB540S0012891,0,0,Vendida,CUSTO R$13.350,00 + R$374,50 + R$85,88
HONDA,PCX 160 DLX ABS,2025/2025,AZUL,TTF-5J66,9C2KF5220SR005706,0,0,Salão,
HONDA,BIZ 110I ,2018/2019,BRANCA,QJP6B71,9C2JC7000KR011119,0,0,Oficina,
YAMAHA ,FZ25 FAZER ,2018/2019,PRETA ,QIY7087,9C6RG5010K0011719,0,0,Oficina,
HONDA ,XRE 300 ABS,2021/2022,CINZA,RKK5J36,9C2ND1120NR006453,0,0,Oficina,
HONDA ,NC 750X ,2022/2022,VERMELHA ,RKT7A42,9C2RC9100NR001147,0,0,Salão,
HONDA,NXR 160 BROSS ESDD,2021/2021,AZUL,RJY3I07,9C2KD0810MR036853,0,0,Oficina,
JTA- SUZUKI,V-STROM650 XT,2017/2018,CINZA,KZH7J80,9CDVP56ATJM100974,0,0,Salão,
YAMAHA ,FZ25 FAZER ,2024/2024,VERMELHA ,SRQ1D24,9C6RG5020R0109241,0,0,Salão,
YAMAHA ,XMAX ,2025/2025,PRETA ,SEM PLACA ,9C6SG8610S0004678,0,0,Vendida,
YAMAHA,NMAX 160,2020/2021,AZUL,RJA2F85,9C6SG5910M0002473,0,0,Vendida,
HONDA,PCX 160 ABS,2025/2025,VERMELHA ,,9C2KF5210SR006184,0,0,Salão,
HONDA ,CB 300 F TWISTTER ,2025/2025,AZUL,TTH8A30,9C2NC6110SN017974,0,0,Vendida,
HONDA ,BIZ 125,2021/2022,BRANCA ,RIS6B06,9C2JC4830NR004093,0,0,Oficina,
YAMAHA ,YBR 150 FACTOR ,2025/2025,VERMELHA,-,9C6RG9910S0013535,0,0,Salão,
YAMAHA ,YBR 150 FACTOR ,2025/2025,PRETA,-,9C6RG9910S0013983,0,0,Salão,
YAMAHA ,FZ 25 FAZER ,2025/2025,CINZA,,9C6RG5040S0025182,0,0,Salão,
YAMAHA ,FZ 25 FAZER ,2025/2025,CINZA,TJJ4I11,9C6RG5040S0025158,0,0,Salão,
YAMAHA ,FZ 25 FAZER ,2025/2025,BRANCA,,9C6RG5040S0020380,0,0,Salão,
YAMAHA,FZ25 FAZER ,2025/2025,BRANCA ,,9C6RG5040S0020384,0,0,Salão,
YAMAHA,FACTOR YBR125 ED,2009/2009,AZUL,LPJ3A27,9C6KE120090017701,0,0,Salão,
YAMAHA ,NEO 125,2024\2024,PRETA,SRQ2B02,9C6SEB520R0069469,0,0,Salão,
YAMAHA ,FZ25 FAZER ,2022/2022,PRETA,RJS4H48,9C6RG5020N0025421,0,0,Oficina,
yamaha,mt03 abs,2024/2025,cinza,ttw-0b46,9c6rh1150s0038783,0,0,Vendida,
HONDA,BIZ 125 ES,2012/2013,VERMELHA,KPH-2356,9C2JC4820DR023701,0,0,Vendida,
YAMAHA,FZ25 FAZER,2025/2025,AZUL,TTI-1F02,9C6RG5040S0010121,0,0,Vendida,
HONDA,PCX 160 DLX ABS,2025/2025,AZUL,TTD-4H03,9C2KF5220SR004055,0,0,Vendida,
HONDA,CB 500F,2022/2023,CINZA,LTY8F05,9C2PC4820PR002175,0,0,Vendida,
YAMAHA,NMAX ,2020/2020,PRETA,RJY7I46,9C6SG3310L0048841,0,0,Vendida,
BMW,F750 GS,2018/2019,AMARELA,LTQ7E21,99Z0B2805KZJ23749,0,0,Vendida,
YAMAHA,FZ25 FAZER ,2025/2025,VERMELHA,TTA2C58,9C6RG5040S0011611,0,0,Vendida,
YAMAHA ,NMAX 160,2020/2020,BRANCA,RJY4B35,9C6SG3310L0054316,0,0,Vendida,
HONDA,XRE 300 ABS,2021/2021,CINZA,FPE9F08,9C2ND1120MR003457,0,0,Vendida,MOTO AINDA NAO ESTA EM LOJA, DOCUMENTAÇÃO PENDENTE (TOTAL DE DOCUMENTAÇÃO 4.085,75)
HONDA,CB 250F TWISTTER,2020/2020,VERMELHA,RJT0D34,9C2MC4400LR200441,0,0,Oficina,
honda,CB650F,2015/2015,BRANCA,LRY6D58,9C2RC7710FR500329,0,0,Vendida,
yamaha,neo 125,2024/2025,cinza,tte4a82,9c6seb540s0013773,0,0,Vendida,
yamaha,xmax,2022/2023,VERDE,rjv7g23,9C6SG6210P0014116,0,0,Vendida,
yamaha,nmax 160,2024/2025,VERMELHA,tuv0e51,9C6SG9110S0002026,0,0,Vendida,
YAMAHA,NEO 125,2024/2025,AZUL,TUW0E97,9C6SEB540S0013390,0,0,Vendida,
HONDA,PCX 160 ABS,2024/2025,VERMELHA,TTW0F51,9C2KF5210SR001774,0,0,Vendida,
HONDA,CG160 TITAN,2021/2021,AZUL,RJH3E41,9C2KC2210MR039690,0,0,Vendida,
YAMAHA,NEO 125,2023/2024,AZUL,RJW9I88,9C6SEB520R0053449,0,0,Vendida,
HONDA,PCX 150,2020/2021,CINZA,RIT3E22,9C2KF3400MR002544,0,0,Vendida,
HONDA,CG 150 FAN ,2010/2011,PRETA ,LPT3G46,9C2KC1680BR315991,0,0,Oficina,
HONDA,PCX 160 DLX ABS,2025/2025,AZUL,TTG9B34,9C2KF5220SR012318,0,0,Salão,
honda ,adv 150,2022/2022,VERMELHA,rjs6a23,9C2KF4300NR006140,0,0,Vendida,
yamaha,neo 125,2017/2017,VERMELHA,ltb8440,9C6SEB510H0008092,0,0,Vendida,
YAMAHA,XTZ250 LANDER,2024/2025,AZUL,TTG0H31,9C6DG3340S0007056,0,0,Vendida,
HONDA,CG 160 FAN,2024/2025,VERMELHA,TUQ-0D57,9C2KC2200SR300502,0,0,Vendida,
RE,CLASSIC 350,2024/2024,VERDE,SRW7G41,95V6J1C5RRM000268,0,0,Vendida,
yamaha,DRAGSTAR XVS 650,2005/2005,PRETA,DLE3D38,9C6KM002050003760,0,0,Vendida,
honda,xre300 sahara rally,2024/2025,vermelha,ttk0g39,9c2nd1730sr104515,0,0,Vendida,
HONDA,PCX 150,2019/2019,AZUL,RIR8I11,9C2KF3400KR104189,0,0,Vendida,
HONDA,CG 160FAN,2024/2024,CINZA,SRG7H18,9C2KC2200RR633316,0,0,Vendida,
YAMAHA ,NMAX ,2025/2025,PRATA FOSCA,,9C6SG9110S0002951,0,0,Vendida,
HONDA,PCX 160 ABS,2024/2025,VERMELHA,,9C2KF5210SR001796,0,0,Vendida,
HONDA,PCX 160 ABS,2024/2025,VERMELHA,,9C2KF5210SR002084,0,0,Vendida,
YAMAHA,FZ15 FAZER ,2025/2025,CINZA,TTE8G31,9C6RG7720S0009406,0,0,Vendida,
HONDA,PCX 150 DLX ABS,2022/2022,PRATA,RKD6H95,9C2KF3410NR007259,0,0,Salão,
HONDA,SAHARA 300 RALLY,2025/2025,VERMELHA,,9C2ND1730SR109060,0,0,Vendida,
yamaha,nmax 160 ,2025/2025,PRETA,tto0i77,9C6SG9110S0006646,0,0,Vendida,
YAMAHA,NMAX 160,2024/2024,PRETA,SRL8E47,9C6SG5920R0017759,0,0,Vendida,
honda,cg 160 titan,2024/2025,LARANJA,tuu0h45,9C2KC2210SR013963,0,0,Vendida,
yamaha ,crosser z abs,2025/2025,verde,,9c6dg25f0s0005795,0,0,Vendida,
HONDA,PCX 160 CBS,2025/2025,BRANCA,,9C2KF5200SR004577,0,0,Vendida,
HONDA,PCX 160,2024/2025,VERMELHA,SSE9G59,9C2KF5210SR000180,0,0,Vendida,
HONDA,NXR160 BROS ESDD,2022/2022,BRANCA,RJR6E01,9C2KD0810NR158531,0,0,Vendida,
honda,nc750x abs,2025/2025,vermelha,ttf-7b54,9c2rc9100sr001315,0,0,Vendida,
YAMAHA,XTZ250 LANDER,2025/2025,VERMELHA,TTF6J74,9C6DG3340S0013964,0,0,Vendida,
YAMAHA,FZ25 FAZER,2024/2024,VERDE,SRH8J34,9C6RG5020R0104082,0,0,Vendida,
HONDA,NC750X,2025/2025,VERMELHA,,9C2RC9100SR001363,0,0,Vendida,
HONDA,PCX 150 ABS,,CINZA,RKI0C51,9C2KF3470LR000685,0,0,Vendida,
YAMAHA ,NMAX 160,2022/2022,AZUL,RKN7D92,9C6SG5910N0033501,0,0,Vendida,
honda,pcx 150,2020/2020,cinza,rjb0i48,9c2kf3400lr010105,0,0,Vendida,
YAMAHA,YBR125I FACTOR ED,2024/2025,PRETA,TUT0H27,9C6RE2140S0066423,0,0,Vendida,
HONDA,CG 160 FAN,2025/2025,PRETA,TTF6A13,9C2KC2200SR226676,0,0,Vendida,
HONDA,PCX 160 DLX ABS,2025/2025,AZUL,TUN0F45,9C2KF5220SR004054,0,0,Vendida,
HONDA,POP 110I ES,2025/2025,BRANCA,TTG3D85,9C2JB0100SR262319,0,0,Vendida,
HONDA,PCX 160 DLX ABS,2025/2025,AZUL,TTI1H13,9C2KF5220SR003659,0,0,Vendida,
yamaha ,neo 125,2018/2019,branca,ltk9260,9c6seb510k0017642,0,0,Vendida,
honda,pop 110i es,2024/2025,branca,tuw0d59,9c2jb0100sr256124,0,0,Vendida,
HONDA,PCX 160 DLX ABS,2025/2025,AZUL,TUK0H14,9C2KF5220SR004009,0,0,Vendida,
HONDA ,CG 160 TITAN,2025/2025,VERMELHA ,TTQ1C62,9C2KC2210SR056141,0,0,Vendida,
YAMAHA,NEO 125,2020/2021,AZUL,RJT2F60,9C6SEB520M0018120,0,0,Vendida,
KAWASAKI,Z900 RS,2024/2024,PRETA,SRT0A21,96PZREE11RFS00033,0,0,Salão,
YAMAHA,XMAX,2023/2023,VERDE,SRI5E25,9C6SG6210P0021423,0,0,Salão,
yamaha,mt03 abs,2020/2021,PRETA,qvm8c51,9C6RH1150M0003110,0,0,Salão,
YAMAHA ,MT03 ABS,2024/2024,CINZA,SRP7H34,9C6RH1150R0030984,0,0,Salão,
KAWASAKI,Z1000,2017/2018,CINZA,LTG6D28,96PZRDJ12JF500109,0,0,Vendida,
KAWASAKI,Z1000 R ABS,2017/2018,CINZA,LTG6D28,96PZRDJ12JFS00109,0,0,Salão,
HONDA,CB 250 F CBS,2020/2020,PRATA,RKQ1D88,9C2MC4400LR206026,0,0,Oficina,
YAMAHA ,FLUO 125,2024/2025,AZUL,SRX9J66,9C6SEJ310S0031267,0,0,Salão,
YAMAHA,FZ25 FAZER,2024/2024,CINZA,SRX9G40,9C6RG5020R0121918,0,0,Salão,
YAMAHA,FAZER250 ,2015/2015,BRANCA,KWS6G95,9C6KG0490F0022964,0,0,Salão,
HONDA,CG 160 TITAN,2023/2023,CINZA,LUS5D81,9C2KC2210PR070725,0,0,Oficina,MOTO FORNECIDA POR SAVIO (24 99904-1193) - CHAVE RESERVA - MANUAL - CÓDIGO DE SEGURANÇA 
HONDA,CG 160 TITAN,2025/2025,PRETA,TTQ1C99,9C2KC2210SR035802,0,0,Salão,
honda,cg 160 titan,2024/2024,cinza,srp9f36,9c2kc2210rr058576,0,0,Salão,
honda,pop110i es,2025/2026,branca,ttp-1d66,9c2jb0100tr209408,0,0,Salão,
HONDA,SH 150 I,2021/2021,CINZA,RJR2H75,9C2KF2700MR001064,0,0,Salão,
HONDA,ELITE 124,2024/2025,PRATA,TUS0C26,9C2JK3400SR008541,0,0,Salão,
YAMAHA,XMAX,2023/2024,VERMELHA,SRH6E66,9C6SG6210R0022742,0,0,Salão,
KAWASAKI,Z900,23/23,PRETA,SQY5B61,96PZREF19PFS00843,0,0,Vendida,
YAMAHA ,FZ25 FAZER ,2022/2023,VERMELHA,RJK9G60,9C6RG5020P0035505,0,0,Oficina,Baixa ela paga
HONDA,BIZ 125 EX,2015/2015,BRANCA,KWS-9A04,9C2JC4830FR053140,0,0,Salão,
HONDA,CB300R LIMITED,2014/2014,BRANCA,LMB8E00,9C2NC4330ER002499,0,0,Salão,
Honda,PCX 160 ABS,2023|2023,Branca,SRH0J18,9C2KF5210PR009926,0,0,Vendida,
Honda,PCX DIX ABS,2025 | 2025,AZUL,TUW0F69,9C2KF5220SR004120,0,0,Vendida,
honda,pcx 150,2015/2015,preta,lrw3461,9c2kf1710fr201364,0,0,Salão,
Honda,PCX 160 CBS,2025 | 2025,Branca,TTE7A89,9C2KF5200SR005149,0,0,Vendida,
HONDA,NXR 160 BROS CBS,2025 | 2025,VERMELHA,TUH0H96,9C2KD0810SR056005,0,0,Vendida,
HONDA,BIZ 110 i,2023 | 2024,BRANCA,SRC3G58,9C2JC7000RR032216,0,0,Vendida,
YAMAHA,NEO 125,2022 | 2022,AZUL,RKL6H47,9CSSEB520N0039016,0,0,Vendida,
HONDA,CG 160 FAN,2025 | 2025,AZUL,TTE6C99,9C2KC2200SR229012,0,0,Vendida,
YAMAHA,NEO 125,2020 | 2021,PRATA,RIV3G17,9C6SEB520M0016817,0,0,Vendida,
HONDA,PCX 160,2025 | 2025,BRANCA,TTG4C64,9C2KF5200SROO4833,0,0,Vendida,
HONDA,PCX 160 ABS,2024 | 2025,VERMELHA,TTE7B04,9C2KF5210SR002079,0,0,Vendida,
YAMAHA,FZ 25 FAZER,2024 | 2025,BRANCA,TUE0C68,9C6RG5040S0006679,0,0,Vendida,
HONDA,XRE 190 SE,2023/2024,verde,srm3f32,9c2md4110rr000498,0,0,Salão,
TRIUMPH,TIGER 1200 DES,2020/2020,CINZA,RJP1J28,97NF43XB7LMAA9025,0,0,Salão,
i,re classic 350,2022/2023,cinza,lui5g97,me3djelt5pv004181,0,0,Salão,
HONDA,CB300F TWISTER ABS,2023/2023,VERMELHA,SQX-7G92,9C2NC6110PR023772,0,0,Salão,
HONDA,PCX 150,2018/2018,AZUL,LMQ0B59,9C2KF2200JR022799,0,0,Salão,
Honda,fan,2021 | 2022,vermelha,rkq5d30,9c2kc2200nr141144,0,0,Salão,
yamaha,fazer 250,2009 | 2010,Preta,ejq9d81,9c6kg0270a0012483,0,0,Salão,
Suzuki,V-strom ,2017 | 2018,Vermelha,PTC1J66,9CDVU51AAJM101980,0,0,Salão,
Honda,sh150i,2018 | 2018,VERMELHA,LUL7D82,9C2KF2700JR001355,0,0,Salão,
yamaha,xtz 250 lander,2025 | 2025,CINZA,,9C6DG334050022863,0,0,Salão,
YAMAHA,FAZER,2024 | 2024,CINZA,,9C6RG5020R0128582,0,0,Salão,
YAMAHA,NMAX,2025 | 2025,PRATA,,9C6SG9110S0011377,0,0,Salão,
YAMAHA,NMAX 160,2025 | 2025,PRATA,,9C65G911050012530,0,0,Salão,
YAMAHA,XTZ 250 LANDER,2025 | 2025,VERMELHA,,9C6DG3340S0019158,0,0,Vendida,
YAMAHA,XTZ250 LANDER,2025 | 2025,AZUL,,9C6DG334050023371,0,0,Salão,
YAMAHA,FZ15 FAZER ABS,2025 | 2025,CINZA,,9C6RG772050017322,0,0,Salão,
HONDA,POP 110IES,2026 | 2025,BRANCA,,9C2JB0100TR009043,0,0,Salão,
HONDA,CG 160 FAN,2025 | 2025,AZUL,,9C2RC2200SR400355,0,0,Salão,
HONDA,PCX 160 DLX,2025 | 2025,AZUL,,9C2KF5220SR013409,0,0,Salão,
HONDA,CB300 F TWISTER,2025,AZUL,,9C2NC6110SR027917,0,0,Salão,
yamaha,fz25,2025,cinza,tth9d80,9c6rg504050019981,0,0,Salão,
HONDA,CB300 F TWISTER,2025,AZUL,,9C2NC6110SR027917,0,0,Salão,
YAMAHA,FZ25 FAZER ,2019/2019,BRANCA ,LTP9B91,9C6RG5010K0023989,0,0,Salão,
HONDA,CG 160 TITAN,2017/2018,PRETA,LTE4G25,9C2KC2210JR005512,0,0,Salão,
HONDA,CG 160 CARGO,2024/2024,BRANCA,SRS8E82,9C2KC2220RR007200,0,0,Salão,
HONDA,POP 110 I,2023 | 2024,PRETA,SRD0B96,9C2JB0100RR016136,0,0,Salão,
TRIUMPH,TIGER XCX,2015 | 2015,PRETA,KXF8B25,97NE07BF0FM705843,0,0,Salão,
"YAMAHA,XTZ150 CROSSER,2021/2020,BRANCA ,RKP2D07,9C2DG2570M0016273,0,0,Vendida,MOTO SEM GARANTIA E ENTREGUE NA HORA
MOVIMENTA ANGRA"
HONDA ,NXR 160 BROS ,23/24,BRANCA ,SRU3611,9C2KD0810RR037594,0,0,Vendida,
Honda,XRE 300 SAHARA,2025 | 2025,VERMELHA,,9C2ND1730SR111114,0,0,Vendida,
HONDA,CG 160 TITAN ,23/23,CINZA,TTI5F15,9C2KC2210PR070724,0,0,Salão,
Honda,PCX 160 DLX ABS,2025 | 2025,Azul,,9C2KF5220SR014755,0,0,Salão,
honda,ADV 160,2025 | 2025,Prata,,9C2KF4300SR009066,0,0,Vendida,
honda ,CG FAN,2023 | 2024,PRETA,SRU5E23,9C2KC2200RR318804,0,0,Salão,
YAMAHA,N MAX 160 SE,2024 | 2024,CINZA,GTN 2H90,9C2SG5920R0017552,0,0,Salão,
HONDA,CG 150 FAN ESD,2014/2015,PRETA,LMC7518,9C2KC1680FR506216,0,0,Salão,
HONDA,CB300F TWISTER CBS,2024/2024,CINZA,SSD3B63,9C2NC6100RR015757,0,0,Salão,
HONDA,CG 160 TITAN ,2025 | 2025,VERMELHA,TTL4A65,9C2KC2210SR071242,0,0,Salão,
HONDA,PCX 160,2025/2025,BRANCA,TTN3G01,9C2KF5200SR009184,0,0,Salão,
yamaha,N MAX,2020 | 2020,PRETA,RJQ1A54,9C6SG331020050628,0,0,Salão,
HONDA,PCX 150,2014 | 2015,Branca,FBI4833,9C2KF1710FR500824,0,0,Salão,
